time_us,ax,ay,az,gx,gy,gz
0,1.144428,0.500388,10.766725,3.003508,-1.409827,-1.156991
4000,1.230620,0.462081,10.699687,2.789768,-1.440362,-0.698976
8000,1.309628,0.450110,10.692505,2.392821,-1.241889,-0.653174
12000,1.256956,0.368707,10.740389,2.087478,-1.028148,-0.531037
16000,1.237802,0.390255,10.670957,1.461524,-0.906011,-0.408900
20000,1.122881,0.407014,10.666168,1.018775,-0.921278,-0.027220
24000,1.154005,0.476446,10.817003,0.667630,-1.012881,0.430795
28000,1.206678,0.433351,10.840945,0.728699,-0.081583,0.965146
32000,1.379060,0.378284,10.793061,0.896638,0.681776,1.209421
36000,1.438915,0.371101,10.761936,1.156180,2.147424,1.010948
40000,1.470040,0.361524,10.663774,0.881371,3.078722,0.644536
44000,1.549049,0.385466,10.606314,0.469157,3.246661,0.323925
48000,1.544260,0.399832,10.596737,0.560760,2.956585,-0.011953
52000,1.450886,0.390255,10.577583,0.011142,1.994753,-0.332564
56000,1.323994,0.435745,10.814610,-0.248400,1.002386,-0.546304
60000,1.230620,0.457293,10.924743,0.301218,0.223760,-0.439434
64000,1.458069,0.402226,11.056423,0.789768,0.223760,-0.317297
68000,1.596933,0.452504,10.893618,1.614195,1.048188,-0.576838
72000,1.683124,0.373495,10.773908,1.782134,1.429867,-1.095922
76000,1.503559,0.277727,10.644621,1.339386,1.048188,-1.523403
80000,1.398214,0.296881,10.584765,0.927172,-0.539598,-1.721877
84000,1.168370,0.296881,10.692505,0.347020,-2.463263,-1.752411
88000,1.165976,0.287304,10.807426,0.148546,-3.822041,-1.599739
92000,1.211466,0.320823,10.800244,-0.019392,-3.883110,-1.309663
96000,1.185130,0.265756,10.948685,-0.049927,-3.226621,-1.126457
100000,1.192312,0.272939,11.044453,0.240150,-2.264789,-0.744777
104000,1.307234,0.356736,10.850522,0.682898,-1.654102,-0.210426
108000,1.290475,0.330400,10.845734,0.682898,-1.547232,-0.225693
112000,1.398214,0.275333,10.912771,1.049310,-1.440362,-0.149358
