time_us,ax,ay,az,gx,gy,gz
0,-0.189142,-0.251391,10.965444,-0.492675,-2.005247,-1.080655
4000,-0.213084,-0.237026,10.948685,-0.187331,-1.715171,-0.866915
8000,-0.344765,-0.215478,10.986992,0.118012,-1.379293,-0.851648
12000,-0.371101,-0.210690,10.984597,0.438623,-1.638835,-0.515770
16000,-0.272939,-0.246603,10.989386,0.759233,-2.264789,-0.134090
20000,-0.220267,-0.234632,10.948685,0.866104,-1.928911,-0.469968
24000,-0.201113,-0.275333,11.027693,0.621829,-1.684637,-0.393632
28000,-0.399832,-0.232238,11.042058,0.927172,-1.348759,-0.622640
32000,-0.430956,-0.234632,11.066000,1.308852,-1.501431,-0.317297
36000,-0.442927,-0.248997,11.147403,1.629462,-1.333492,-0.103556
40000,-0.402226,-0.246603,11.092337,2.285951,-1.119751,-0.011953
44000,-0.366313,-0.260968,10.898406,1.965340,-0.829675,0.064383
48000,-0.337582,-0.301669,10.843340,1.919539,-0.112117,-0.011953
52000,-0.299275,-0.241814,10.862494,1.568394,0.803913,-0.210426
56000,-0.383072,-0.239420,11.032481,1.278317,0.422234,-0.164625
60000,-0.361524,-0.277727,11.022904,1.095111,0.010020,-0.332564
64000,-0.277727,-0.308852,11.022904,0.972974,-0.692270,-0.240961
68000,-0.299275,-0.265756,11.022904,0.942440,-0.295324,-0.347831
72000,-0.237026,-0.342371,11.145009,0.637096,0.071089,-0.622640
76000,-0.263362,-0.323217,11.106702,0.820302,0.315363,-0.469968
80000,-0.287304,-0.284910,11.097125,0.972974,0.010020,-0.469968
84000,-0.256180,-0.356736,11.116279,1.369921,-0.509064,-0.576838
88000,-0.251391,-0.280122,11.080365,1.369921,-0.738072,-0.912716
92000,-0.296881,-0.248997,11.003751,1.385188,-0.783873,-1.309663
96000,-0.411803,-0.220267,11.025299,1.339386,-0.447995,-1.172258
100000,-0.457293,-0.237026,11.051635,1.247783,-0.600667,-1.050121
