time_us,ax,ay,az,gx,gy,gz
0,0.763750,0.332794,10.867282,1.247783,-2.478530,0.980413
4000,0.885855,0.299275,11.030087,1.644730,-3.058682,0.980413
8000,0.998382,0.320823,10.960655,2.377554,-2.722805,0.659803
12000,1.074997,0.318429,10.994174,2.469157,-1.959446,0.598734
16000,0.940921,0.265756,10.982203,2.698165,-1.318224,0.262856
20000,1.034295,0.306458,10.802638,2.713432,-1.883110,0.110184
24000,1.003170,0.306458,10.852917,2.637096,-2.753339,0.094917
28000,0.950498,0.311246,10.728417,2.499691,-4.051049,-0.439434
32000,0.924162,0.272939,10.656591,1.812669,-4.783873,-0.393632
36000,0.991199,0.275333,10.692505,1.614195,-4.906011,-0.592106
40000,0.960075,0.325611,10.591949,1.186714,-4.875476,-0.714243
44000,0.921768,0.337582,10.680533,0.637096,-4.264789,-0.958518
48000,0.758962,0.313640,10.668563,0.194348,-3.425095,-0.973785
52000,0.622492,0.311246,10.666168,-0.614812,-3.180820,-0.439434
56000,0.670376,0.318429,10.747571,-0.950690,-2.814408,-0.164625
60000,0.758962,0.339977,10.824186,-1.057560,-1.699904,-0.134090
64000,0.811634,0.263362,10.864887,-1.469774,-0.799140,-0.011953
68000,0.775721,0.344765,10.912771,-1.652980,-0.661736,0.155986
72000,0.758962,0.263362,10.939108,-1.652980,-0.936545,0.278123
76000,0.737414,0.294487,11.022904,-1.714049,-1.516698,0.232322
80000,0.763750,0.301669,11.216835,-0.950690,-2.585400,0.262856
84000,0.826000,0.306458,11.453861,0.270684,-3.073950,0.552933
88000,0.962469,0.129287,11.413159,1.629462,-2.280056,0.476597
92000,1.048660,0.201113,11.252748,2.118012,-1.028148,0.339192
96000,1.012747,0.126893,11.247959,2.438623,-0.417461,0.094917
100000,1.039083,0.057461,11.238382,2.805035,-1.012881,-0.240961
104000,1.022324,0.062249,11.145009,2.850837,-2.234255,-0.531037
108000,1.127669,0.055067,11.104307,2.560760,-3.577766,-1.187526
112000,1.079785,0.047884,11.094730,2.347020,-4.692270,-1.523403
116000,1.101333,0.102951,11.154586,2.347020,-5.379293,-1.889816
120000,0.969652,0.100556,11.303026,2.774501,-5.531965,-2.195159
124000,0.809240,0.050278,11.221623,2.881371,-5.287690,-1.859281
128000,0.684742,0.112527,11.200075,3.293585,-5.089217,-1.889816
132000,0.656011,0.098162,11.049241,3.247783,-4.478529,-1.431800
136000,0.792481,0.110133,10.955867,3.201982,-3.898377,-1.309663
140000,0.742203,0.107739,10.817003,2.850837,-2.478530,-1.004319
144000,0.696713,0.114922,10.630256,1.919539,-1.928911,-0.729510
148000,0.644040,0.079009,10.694899,1.125646,-1.730438,-0.378365
152000,0.586579,0.232238,10.673351,0.240150,-2.524331,-0.011953
156000,0.632069,0.232238,10.797850,-0.202598,-3.226621,0.552933
160000,0.809240,0.215478,10.874464,-0.401072,-3.638835,0.507131
164000,0.952892,0.234632,10.982203,-0.355270,-3.470896,0.446062
168000,1.024718,0.217872,11.003751,0.194348,-2.738072,0.155986
172000,1.005565,0.117316,10.946290,0.591295,-1.867843,0.217055
176000,0.912191,0.138864,10.850522,0.911905,-1.837308,0.003314
180000,0.833182,0.141258,10.893618,0.942440,-2.035782,0.049116
184000,0.804452,0.155623,10.965444,1.095111,-2.463263,-0.073022
188000,0.667982,0.191536,11.039664,1.553127,-2.951812,-0.103556
192000,0.766145,0.172383,11.006145,1.537859,-3.638835,0.446062
196000,0.758962,0.098162,10.979809,2.392821,-3.257156,0.720871
200000,0.852336,0.038307,10.805033,2.133279,-2.417461,0.705604
204000,0.706290,-0.004788,10.740389,2.148547,-2.325858,0.797207
208000,0.687136,-0.007183,10.515334,1.430989,-3.104484,0.797207
212000,0.809240,-0.100556,10.500969,0.621829,-4.249522,0.507131
216000,0.818817,-0.148441,10.536881,-0.630080,-4.890743,-0.103556
220000,0.636858,-0.059855,10.635044,-1.301835,-6.402194,-0.332564
224000,0.517148,-0.129287,10.845734,-1.698782,-7.928911,0.033849
228000,0.634463,-0.146046,10.927136,-1.652980,-8.921278,0.369726
232000,0.708684,-0.160412,11.092337,-1.408705,-7.913644,0.430795
236000,0.653617,-0.179565,11.066000,-1.072828,-7.180820,0.461329
240000,0.620098,-0.248997,11.154586,-0.843820,-6.890743,0.766673
244000,0.658405,-0.181959,11.195287,0.041676,-7.043415,1.087284
248000,0.766145,-0.256180,11.245565,0.637096,-6.875476,0.934612
