time_us,ax,ay,az,gx,gy,gz
0,-0.014365,0.359130,10.953473,-1.103362,-0.951812,0.949879
4000,0.308852,0.454898,10.716447,-1.469774,3.658875,0.995681
8000,0.131681,0.347159,11.365275,1.598928,1.781012,0.384994
12000,-0.165200,0.464475,10.941502,0.637096,1.078722,1.407894
16000,-0.158017,0.409408,11.101913,1.675264,0.880249,1.896444
20000,0.220267,0.414197,11.013328,1.492058,0.040554,1.850642
24000,0.356736,0.371101,10.876859,1.171447,0.513837,1.026215
28000,0.373495,0.282516,10.917560,1.232516,0.666508,0.125452
32000,0.282516,0.344765,10.931925,1.217249,1.032921,-0.821113
36000,0.189142,0.323217,10.896012,1.186714,0.147424,-1.355464
40000,0.057461,0.409408,10.828975,0.927172,-0.844942,-1.706609
44000,-0.071826,0.371101,10.802638,0.041676,-1.486163,-1.691342
48000,-0.081403,0.407014,10.805033,-0.874354,-2.509064,-1.889816
52000,-0.141258,0.488417,10.826580,-1.698782,-3.333492,-1.981419
56000,-0.220267,0.493206,10.826580,-2.446873,-4.478529,-1.706609
60000,-0.268151,0.486023,11.061212,-3.011759,-5.531965,-1.523403
64000,-0.248997,0.447716,11.087548,-2.523209,-5.791507,-1.095922
68000,-0.213084,0.308852,11.137826,-2.416339,-4.890743,-0.943251
72000,-0.167594,0.414197,11.044453,-1.744583,-4.066316,-0.683709
76000,-0.198719,0.368707,11.044453,-1.622446,-3.058682,-0.469968
80000,-0.136469,0.409408,10.972627,-1.851454,-2.829675,-0.485235
84000,-0.129287,0.411803,11.106702,-2.523209,-3.089217,-0.958518
88000,-0.198719,0.375890,11.252748,-2.736950,-3.928911,-0.927984
92000,-0.234632,0.392649,11.303026,-2.324736,-4.203721,-0.775312
96000,-0.277727,0.344765,11.319786,-1.439240,-3.852576,-0.302029
100000,-0.378284,0.402226,11.121067,-0.294202,-2.478530,0.339192
104000,-0.304064,0.418985,11.030087,-0.141530,-1.394560,1.072016
108000,-0.373495,0.466869,11.046846,0.072211,-0.951812,1.911711
112000,-0.332794,0.569820,11.022904,-0.172064,-1.257156,2.384994
116000,-0.270545,0.519542,10.951078,-0.767484,-2.142652,2.781940
120000,-0.205901,0.514753,10.922348,-1.210232,-2.173186,3.117818
